GAME_ID	GAME_DATE	MATCHUP	PTS
22300219	2023-11-20	WAS_MIL	271
22300174	2023-11-11	BOS_TOR	211
22300489	2024-01-05	PHX_MIA	210
22300519	2024-01-10	DET_SAS	238
22300775	2024-02-13	POR_MIN	230
22300209	2023-11-19	IND_ORL	244
22301171	2024-04-12	PHI_ORL	238
22300523	2024-01-10	CHI_HOU	243
22300147	2023-11-06	ORL_DAL	219
22300298	2023-12-11	HOU_SAS	175
22300024	2023-11-14	DEN_LAC	219
22300411	2023-12-26	OKC_MIN	235
22300444	2023-12-30	GSW_DAL	254
22300975	2024-03-16	SAC_NYK	189
22300729	2024-02-07	BOS_ATL	242
22300932	2024-03-10	LAL_MIN	229
22301155	2024-04-09	LAL_GSW	254
22300634	2024-01-26	ATL_DAL	291
22301012	2024-03-22	TOR_OKC	226
22300001	2023-11-03	IND_CLE	237
22300877	2024-03-03	SAS_IND	222
22300527	2024-01-11	CLE_BKN	213
22300322	2023-12-14	DEN_BKN	225
22300722	2024-02-06	NYK_MEM	236
22301168	2024-04-11	UTA_HOU	245
22300467	2024-01-03	ATL_OKC	279
22300774	2024-02-13	PHX_SAC	255
22300940	2024-03-12	MEM_WAS	206
22300151	2023-11-06	NYK_LAC	208
22300548	2024-01-13	SAS_CHI	238
22301047	2024-03-26	SAC_DAL	228
22301224	2023-12-08	DEN_HOU	220
22300813	2024-02-23	LAL_SAS	241
22300623	2024-01-24	HOU_POR	268
22300666	2024-01-29	DAL_ORL	260
22300333	2023-12-15	PHX_NYK	261
22300438	2023-12-29	LAC_MEM	223
22300990	2024-03-18	LAL_ATL	241
22301150	2024-04-09	HOU_ORL	224
22300517	2024-01-10	BOS_MIN	247
22301067	2024-03-29	CLE_PHI	231
22300039	2023-11-21	ATL_IND	309
22300505	2024-01-07	LAL_LAC	209
22301119	2024-04-05	CHI_NYK	208
22300660	2024-01-29	BKN_UTA	261
22300190	2023-11-13	MIL_CHI	227
22300562	2024-01-15	BKN_MIA	191
22300122	2023-11-01	HOU_CHA	247
